-0.0116,-0.012,-0.2
-0.0115,0.004,0
-0.0114,0.016,0
-0.0113,-0.004,0
-0.0112,0.016,0
-0.0111,-0.012,0
-0.011,0.016,-0.2
-0.0109,-0.02,0
-0.0108,-0.004,0
-0.0107,-0.008,0
-0.0106,0.008,0
-0.0105,-0.016,0
-0.0104,0.008,0
-0.0103,-0.02,0
-0.0102,-0.004,0
-0.0101,0,0
-0.01,-0.008,0
-0.0099,-0.02,0
-0.0098,-0.004,0
-0.0097,0.028,0
-0.0096,-0.008,0
-0.0095,0.008,0
-0.0094,-0.016,0
-0.0093,-0.016,0
-0.0092,-0.008,0
-0.0091,0,0
-0.009,0.036,0
-0.0089,0.02,0
-0.0088,-0.004,0
-0.0087,0.012,0
-0.0086,0.012,0
-0.0085,-0.008,0.2
-0.0084,-0.016,0
-0.0083,-0.008,0
-0.0082,-0.008,0
-0.0081,0.012,0
-0.008,0.016,0
-0.0079,0,0
-0.0078,-0.012,0
-0.0077,-0.008,0
-0.0076,0.016,0
-0.0075,0.012,0
-0.0074,0.024,0
-0.0073,0.016,0
-0.0072,0.02,0
-0.0071,-0.012,0
-0.007,0.012,0
-0.0069,0.008,0
-0.0068,0.004,0
-0.0067,0.032,0
-0.0066,0.024,0
-0.0065,0.028,0
-0.0064,0.04,0.2
-0.0063,0.012,0
-0.0062,0.028,0
-0.0061,0.028,0
-0.006,0.02,0
-0.0059,0.032,0
-0.0058,0.016,0
-0.0057,0.024,0
-0.0056,0.036,0
-0.0055,0.016,0
-0.0054,0.02,0
-0.0053,0.02,0
-0.0052,0.016,0
-0.0051,0.044,0
-0.005,0.024,0
-0.0049,0.044,0
-0.0048,0.02,-0.2
-0.0047,0.032,0.2
-0.0046,0.02,0
-0.0045,0.036,0
-0.0044,0.036,0
-0.0043,0.028,0
-0.0042,0.032,0
-0.0041,0.052,0
-0.004,0.052,0
-0.0039,0.04,0
-0.0038,0.044,0
-0.0037,0.044,0
-0.0036,0.052,0
-0.0035,0.064,0
-0.0034,0.052,0
-0.0033,0.028,0
-0.0032,0.056,0
-0.0031,0.048,0
-0.003,0.044,0
-0.0029,0.056,0
-0.0028,0.06,0
-0.0027,0.076,0
-0.0026,0.056,0
-0.0025,0.064,-0.2
-0.0024,0.06,0
-0.0023,0.084,0
-0.0022,0.076,0
-0.0021,0.06,0
-0.002,0.06,0.2
-0.0019,0.088,0
-0.0018,0.092,0
-0.0017,0.076,0.2
-0.0016,0.088,0
-0.0015,0.1,0
-0.0014,0.076,0
-0.0013,0.092,0
-0.0012,0.1,0
-0.0011,0.092,0
-0.001,0.092,0
-0.0009,0.108,0
-0.0008,0.092,0
-0.0007,0.116,0.2
-0.0006,0.116,0
-0.0005,0.132,0.2
-0.0004,0.132,-0.2
-0.0003,0.116,0
-0.0002,0.132,-0.2
-0.0001,0.128,-0.2
0,0.112,0
0.0001,0.128,0
0.0002,0.148,0
0.0003,0.128,0
0.0004,0.136,0
0.0005,0.148,0
0.0006,0.156,0
0.0007,0.136,0
0.0008,0.144,0
0.0009,0.14,0
0.001,0.184,0.2
0.0011,0.152,0
0.0012,0.172,0
0.0013,0.132,0
0.0014,0.168,0
0.0015,0.172,0
0.0016,0.18,0
0.0017,0.168,0
0.0018,0.184,0.2
0.0019,0.18,0
0.002,0.212,0
0.0021,0.216,0
0.0022,0.236,0.2
0.0023,0.204,0
0.0024,0.2,0
0.0025,0.244,0
0.0026,0.26,0
0.0027,0.24,0.2
0.0028,0.224,0
0.0029,0.236,0
0.003,0.264,0
0.0031,0.244,0
0.0032,0.264,0
0.0033,0.264,0
0.0034,0.256,0
0.0035,0.296,0
0.0036,0.276,0
0.0037,0.272,0
0.0038,0.288,0
0.0039,0.288,0
0.004,0.292,0
0.0041,0.296,0
0.0042,0.3,0
0.0043,0.284,0.2
0.0044,0.304,0
0.0045,0.316,0
0.0046,0.324,0
0.0047,0.316,0
0.0048,0.324,0
0.0049,0.316,0.2
0.005,0.332,0
0.0051,0.348,0
0.0052,0.336,0.2
0.0053,0.34,0
0.0054,0.336,0
0.0055,0.344,0
0.0056,0.344,0
0.0057,0.352,0
0.0058,0.372,0
0.0059,0.364,0
0.006,0.372,0
0.0061,0.388,0
0.0062,0.38,0.2
0.0063,0.38,0
0.0064,0.392,0
0.0065,0.38,0
0.0066,0.388,0
0.0067,0.392,0
0.0068,0.388,0
0.0069,0.396,0
0.007,0.412,0
0.0071,0.396,0
0.0072,0.392,0
0.0073,0.384,0
0.0074,0.4,0
0.0075,0.392,0
0.0076,0.384,0
0.0077,0.384,0
0.0078,0.384,0
0.0079,0.388,0
0.008,0.396,0.2
0.0081,0.396,0
0.0082,0.408,0
0.0083,0.396,0.2
0.0084,0.392,0
0.0085,0.396,0
0.0086,0.396,0
0.0087,0.408,0
0.0088,0.416,0
0.0089,0.392,0
0.009,0.376,0
0.0091,0.384,0
0.0092,0.38,0
0.0093,0.376,0
0.0094,0.388,0
0.0095,0.372,0
0.0096,0.368,0
0.0097,0.36,0
0.0098,0.348,0
0.0099,0.352,0.2
0.01,0.36,0
0.0101,0.336,0
0.0102,0.344,0.2
0.0103,0.368,0
0.0104,0.356,0.2
0.0105,0.348,0.2
0.0106,0.3,0
0.0107,0.304,0
0.0108,0.312,0
0.0109,0.34,0
0.011,0.348,0
0.0111,0.324,0
0.0112,0.3,0
0.0113,0.28,0.2
0.0114,0.292,-0.2
0.0115,0.296,0
0.0116,0.276,0
0.0117,0.244,0
0.0118,0.252,0
0.0119,0.28,0
0.012,0.256,0
0.0121,0.236,0
0.0122,0.224,0
0.0123,0.216,0
0.0124,0.22,-0.2
0.0125,0.224,0
0.0126,0.208,0.2
0.0127,0.188,0
0.0128,0.192,0
0.0129,0.172,0.2
0.013,0.176,0
0.0131,0.168,0
0.0132,0.176,0
0.0133,0.12,0
0.0134,0.132,0.2
0.0135,0.128,0
0.0136,0.116,0
0.0137,0.092,0
0.0138,0.104,0
0.0139,0.068,0
0.014,0.072,0.2
0.0141,0.06,0
0.0142,0.076,0
0.0143,0.04,0
0.0144,0.028,0
0.0145,0.044,0
0.0146,0.016,0
0.0147,-0.012,0
0.0148,-0.032,0
0.0149,-0.012,0.2
0.015,-0.024,0
0.0151,-0.032,0
0.0152,-0.02,0
0.0153,-0.052,0
0.0154,-0.072,0.2
0.0155,-0.092,0
0.0156,-0.072,0
0.0157,-0.104,0
0.0158,-0.116,0
0.0159,-0.124,0.2
0.016,-0.124,0
0.0161,-0.124,0
0.0162,-0.128,0
0.0163,-0.144,0.2
0.0164,-0.132,0
0.0165,-0.172,0
0.0166,-0.18,0.2
0.0167,-0.168,0
0.0168,-0.176,0
0.0169,-0.216,0
0.017,-0.188,0
0.0171,-0.204,0
0.0172,-0.216,0
0.0173,-0.232,0
0.0174,-0.216,0
0.0175,-0.248,0
0.0176,-0.256,0
0.0177,-0.26,0
0.0178,-0.256,0
0.0179,-0.272,0
0.018,-0.288,0.2
0.0181,-0.276,0.2
0.0182,-0.276,0
0.0183,-0.3,0
0.0184,-0.316,0
0.0185,-0.328,0
0.0186,-0.312,0
0.0187,-0.3,0
0.0188,-0.312,0
0.0189,-0.324,0
0.019,-0.324,0
0.0191,-0.316,0
0.0192,-0.328,0
0.0193,-0.332,0
0.0194,-0.316,0
0.0195,-0.344,0
0.0196,-0.34,0
0.0197,-0.344,0
0.0198,-0.356,0.2
0.0199,-0.36,0
0.02,-0.344,0
0.0201,-0.38,0
0.0202,-0.372,0
0.0203,-0.368,0
0.0204,-0.384,0
0.0205,-0.36,0
0.0206,-0.36,0
0.0207,-0.372,0
0.0208,-0.376,0
0.0209,-0.368,0
0.021,-0.344,0
0.0211,-0.36,0
0.0212,-0.352,0
0.0213,-0.4,0
0.0214,-0.396,0
0.0215,-0.38,0.2
0.0216,-0.372,0
0.0217,-0.384,0
0.0218,-0.4,0
0.0219,-0.38,-0.2
0.022,-0.368,0
0.0221,-0.368,0
0.0222,-0.376,0
0.0223,-0.368,0
0.0224,-0.372,0
0.0225,-0.36,0
0.0226,-0.356,0.2
0.0227,-0.336,0
0.0228,-0.36,0
0.0229,-0.36,0
0.023,-0.38,0
0.0231,-0.368,0.2
0.0232,-0.344,0.2
0.0233,-0.352,0
0.0234,-0.364,0
0.0235,-0.34,0
0.0236,-0.328,0
0.0237,-0.336,0
0.0238,-0.328,0
0.0239,-0.336,0
0.024,-0.336,0
0.0241,-0.34,0
0.0242,-0.32,0
0.0243,-0.284,0
0.0244,-0.316,0
0.0245,-0.3,0
0.0246,-0.304,0
0.0247,-0.288,0
0.0248,-0.296,0
0.0249,-0.288,-0.2
0.025,-0.292,0
0.0251,-0.288,0.2
0.0252,-0.284,0
0.0253,-0.288,0
0.0254,-0.26,0.2
0.0255,-0.268,0
0.0256,-0.292,0
0.0257,-0.284,0.2
0.0258,-0.28,0
0.0259,-0.26,0
0.026,-0.26,0
0.0261,-0.256,0
0.0262,-0.264,0
0.0263,-0.244,0
0.0264,-0.256,0
0.0265,-0.228,0
0.0266,-0.24,0
0.0267,-0.22,0
0.0268,-0.244,0
0.0269,-0.22,0
0.027,-0.216,0
0.0271,-0.208,0
0.0272,-0.2,0
0.0273,-0.212,0
0.0274,-0.212,0.2
0.0275,-0.176,0
0.0276,-0.212,0
0.0277,-0.188,0
0.0278,-0.18,0
0.0279,-0.188,0
0.028,-0.196,0
0.0281,-0.176,0
0.0282,-0.196,-0.2
0.0283,-0.172,0
0.0284,-0.172,0
0.0285,-0.16,0
0.0286,-0.164,0
0.0287,-0.164,0
0.0288,-0.144,0
0.0289,-0.144,0
0.029,-0.132,0
0.0291,-0.164,0
0.0292,-0.168,0
0.0293,-0.136,0
0.0294,-0.148,0.2
0.0295,-0.132,0
0.0296,-0.128,0
0.0297,-0.144,0
0.0298,-0.132,0
0.0299,-0.132,0.2
0.03,-0.132,0
0.0301,-0.12,0
0.0302,-0.12,0
0.0303,-0.116,0
0.0304,-0.104,0
0.0305,-0.104,0
0.0306,-0.128,0
0.0307,-0.104,0
0.0308,-0.116,0
0.0309,-0.1,0
0.031,-0.088,0
0.0311,-0.068,0.2
0.0312,-0.092,0
0.0313,-0.104,0
0.0314,-0.112,0
0.0315,-0.096,0
0.0316,-0.096,0
0.0317,-0.072,0
0.0318,-0.092,0
0.0319,-0.096,0
0.032,-0.064,0
0.0321,-0.076,0
0.0322,-0.06,0.2
0.0323,-0.068,0
0.0324,-0.08,0
0.0325,-0.068,0
0.0326,-0.052,0
0.0327,-0.056,0
0.0328,-0.048,0
0.0329,-0.088,0.2
0.033,-0.064,0
0.0331,-0.08,0
0.0332,-0.072,0.2
0.0333,-0.052,0
0.0334,-0.068,0
0.0335,-0.056,0
0.0336,-0.068,0.2
0.0337,-0.044,0.2
0.0338,-0.06,0
0.0339,-0.032,0.2
0.034,-0.052,0
0.0341,-0.048,0
0.0342,-0.04,0
0.0343,-0.036,0
0.0344,-0.036,0
0.0345,-0.04,0
0.0346,-0.02,0
0.0347,-0.04,0.2
0.0348,-0.028,0
0.0349,-0.04,0
0.035,-0.028,0
0.0351,-0.036,0
0.0352,-0.04,0.2
0.0353,-0.04,0
0.0354,-0.036,0
0.0355,-0.04,0
0.0356,-0.02,0
0.0357,-0.024,0.2
0.0358,-0.032,0
0.0359,-0.028,0
0.036,-0.04,0
0.0361,-0.024,0
0.0362,-0.024,0.2
0.0363,-0.016,-0.2
0.0364,-0.032,0
0.0365,-0.032,0
0.0366,-0.028,0
0.0367,-0.024,0
0.0368,-0.028,0
0.0369,-0.024,0
0.037,-0.024,0
0.0371,-0.028,0
0.0372,0,0.2
0.0373,0,0
0.0374,-0.02,0
0.0375,-0.016,0
0.0376,0,0
0.0377,-0.016,0
0.0378,-0.016,0
0.0379,-0.016,0
0.038,0,0
0.0381,-0.016,0
0.0382,0.008,0
0.0383,-0.012,0
0.0384,-0.02,0.2
0.0385,-0.016,0
0.0386,-0.004,0
0.0387,-0.008,0
0.0388,-0.012,0
0.0389,-0.008,0
0.039,0.016,0
0.0391,-0.016,0
0.0392,-0.008,0
0.0393,0.008,0
0.0394,-0.024,0
0.0395,-0.028,0
0.0396,0.004,0
0.0397,0.016,0
0.0398,-0.004,0.2
0.0399,-0.024,0
0.04,0,0
0.0401,0.028,0.2
0.0402,-0.02,0
0.0403,0.012,0.2
0.0404,0.008,0
0.0405,-0.02,0
0.0406,-0.012,0
0.0407,0.024,0
0.0408,0.016,0
0.0409,0.008,0
0.041,-0.02,0
0.0411,-0.02,0
0.0412,0.012,0
0.0413,0.004,0
0.0414,0.012,0
0.0415,-0.008,0
0.0416,0,0.2
0.0417,-0.012,0
0.0418,0.012,0
0.0419,0.012,0
0.042,0,0
0.0421,-0.008,0
0.0422,0.004,0
0.0423,0.02,0
0.0424,0.004,0
0.0425,-0.004,0
0.0426,0,0.2
0.0427,0,0
0.0428,-0.02,0
0.0429,-0.016,0
0.043,0.016,0
0.0431,0.024,0
0.0432,-0.016,0
0.0433,-0.012,0
0.0434,0.012,0
0.0435,0,0
0.0436,0.004,0
0.0437,0.004,0
0.0438,-0.004,0
0.0439,-0.016,0
0.044,-0.004,-0.2
0.0441,0,0
0.0442,0.016,0
0.0443,0.004,0
0.0444,-0.02,0
0.0445,-0.004,0
0.0446,-0.02,0.2
0.0447,0,0
0.0448,-0.008,0
0.0449,-0.004,0
0.045,0.004,0
0.0451,0.004,0
0.0452,-0.004,0
0.0453,0,0.2
0.0454,-0.02,0
0.0455,0.02,0.2
0.0456,0,0
0.0457,-0.008,0
0.0458,0.008,0
0.0459,0,0
0.046,-0.004,0
0.0461,0.016,0.2
0.0462,0.008,0
0.0463,0.004,0
0.0464,0.008,0
0.0465,-0.012,0
0.0466,0.004,0
0.0467,-0.008,0
0.0468,-0.008,0
0.0469,0,0
0.047,-0.012,0.2
0.0471,0.012,0
0.0472,-0.004,0
0.0473,0.004,0
0.0474,0,0
0.0475,0.004,0
0.0476,0.004,0
0.0477,0.028,0
0.0478,0.012,0.2
0.0479,0.016,0
0.048,0.012,0
0.0481,0.016,0.2
0.0482,0.008,0
0.0483,0.008,0
0.0484,0,0
0.0485,0.004,0.2
0.0486,-0.016,0
0.0487,0,0
0.0488,0,0
0.0489,-0.008,0
0.049,-0.004,0
0.0491,0.004,0
0.0492,0,0
0.0493,0.024,0
0.0494,-0.004,0
0.0495,-0.008,0
0.0496,0.02,0
0.0497,0.012,0.2
0.0498,0.024,0
0.0499,0.016,0
0.05,0.02,0
0.0501,0.028,0
0.0502,-0.004,0
0.0503,-0.004,0
0.0504,-0.012,0
0.0505,-0.004,0
0.0506,0.036,0
0.0507,0.024,0
0.0508,-0.02,0.2
0.0509,0.004,0
0.051,-0.012,0
0.0511,0.008,0
0.0512,-0.004,0
0.0513,0.012,0.2
0.0514,-0.016,0.2
0.0515,-0.008,0
0.0516,-0.008,0
0.0517,0.02,0
0.0518,0,0
0.0519,-0.004,0
0.052,-0.004,0
0.0521,0.024,0
0.0522,0.02,0
0.0523,0.016,0
0.0524,-0.012,0
0.0525,0,0
0.0526,0.024,0.2
0.0527,0.008,0
0.0528,-0.004,0
0.0529,-0.016,0
0.053,-0.012,0.2
0.0531,-0.008,0
0.0532,0.004,0
0.0533,0.008,0
0.0534,-0.008,0
0.0535,0.012,0
0.0536,-0.016,0
0.0537,-0.004,0
0.0538,0.008,0
0.0539,0.004,0.2
0.054,0.012,0
0.0541,-0.012,0
0.0542,0.012,0
0.0543,0.004,0
0.0544,0.016,0
0.0545,0.008,-0.2
0.0546,0.004,-0.2
0.0547,0.016,0
0.0548,0.02,0
0.0549,0.016,0
0.055,0.016,0
0.0551,0,0
0.0552,0,0
0.0553,0.02,0
0.0554,0.008,0.2
0.0555,-0.02,0
0.0556,0.012,0
0.0557,0.008,0
0.0558,-0.004,0.2
0.0559,-0.004,0
0.056,0,0
0.0561,-0.004,0
0.0562,0.012,0
0.0563,-0.008,0
0.0564,-0.004,0
0.0565,-0.004,0
0.0566,0,0
0.0567,0.016,0.2
0.0568,0.012,0
0.0569,-0.008,0
0.057,-0.008,0.2
0.0571,0.016,0
0.0572,0.016,0
0.0573,-0.012,0
0.0574,-0.008,0
0.0575,0.016,0
0.0576,0.008,-0.2
0.0577,-0.004,0
0.0578,0,0
0.0579,-0.008,0
0.058,-0.004,0.2
0.0581,0.008,0
0.0582,-0.004,0
0.0583,0.012,0
0.0584,0.012,0
0.0585,0.012,0
0.0586,-0.012,0
0.0587,0.02,0.2
0.0588,-0.012,0
0.0589,0.004,0
0.059,0.012,0
0.0591,-0.012,0
0.0592,0.012,0.2
0.0593,-0.004,0
0.0594,0.008,0
0.0595,0,0
0.0596,0.012,0
0.0597,0.008,0
0.0598,-0.012,0
0.0599,-0.02,0
0.06,0.008,0
0.0601,0.012,0.2
0.0602,-0.004,0.2
0.0603,0.016,0
0.0604,0.024,0
0.0605,0.008,0
0.0606,0.004,0
0.0607,-0.012,0
0.0608,-0.012,0
0.0609,-0.004,0.2
0.061,0.008,0.2
0.0611,-0.012,0
0.0612,-0.004,0.2
0.0613,0.012,0
0.0614,0.02,0
0.0615,0.02,0
0.0616,0.012,0
0.0617,-0.016,0
0.0618,0.032,0
0.0619,0.048,0.2
0.062,0.02,0
0.0621,-0.02,0
0.0622,-0.008,0
0.0623,0.008,0
0.0624,0.012,0
0.0625,0,0
0.0626,-0.036,0
0.0627,-0.004,0
0.0628,0.008,0
0.0629,0.016,0
0.063,0.032,0
0.0631,0.008,0
0.0632,0,0
0.0633,0,0
0.0634,0.008,0
0.0635,-0.004,0
0.0636,-0.02,0
0.0637,0.016,0
0.0638,0,0
0.0639,0.008,0
0.064,0,0
0.0641,-0.004,0
0.0642,0.008,0
0.0643,0.008,0
0.0644,-0.008,0
0.0645,-0.004,0
0.0646,-0.028,0
0.0647,0,0
0.0648,0.004,0
0.0649,0.02,0
0.065,0.008,0
0.0651,-0.004,0
0.0652,0,0
0.0653,0.016,0
0.0654,-0.004,0
0.0655,0,0
0.0656,0.012,0
0.0657,-0.012,0
0.0658,-0.012,0
0.0659,-0.008,0
0.066,0.012,0
0.0661,0,0
0.0662,-0.012,0.2
0.0663,-0.012,0
0.0664,-0.008,0
0.0665,0,0
0.0666,0.024,0.2
0.0667,-0.016,0
0.0668,-0.028,0
0.0669,0.008,0.2
0.067,-0.016,0
0.0671,-0.004,0
0.0672,-0.004,0
0.0673,0.016,0
0.0674,0.012,0
0.0675,0.004,0
0.0676,0.012,0.2
0.0677,-0.004,0
0.0678,0.008,0
0.0679,0,0
0.068,0.004,0
0.0681,0.004,0
0.0682,-0.004,0
0.0683,0.008,0
0.0684,0.012,0
0.0685,-0.012,0
0.0686,0.012,0
0.0687,0,0.2
0.0688,-0.008,0
0.0689,0.008,0
0.069,0,0
0.0691,-0.004,0
0.0692,0,0
0.0693,0.008,0
0.0694,0,0.2
0.0695,0.008,0
0.0696,-0.004,0
0.0697,-0.004,0.2
0.0698,-0.02,0.2
0.0699,-0.016,-0.2
0.07,0.008,0
0.0701,-0.004,0
0.0702,0.016,0
0.0703,-0.008,0
0.0704,0.024,0
0.0705,-0.004,0
0.0706,0,0
0.0707,-0.036,0
0.0708,-0.008,0
0.0709,0.008,0
0.071,0,0
0.0711,-0.008,0.2
0.0712,-0.044,0
0.0713,0.012,0
0.0714,0.024,0
0.0715,0.02,0
0.0716,-0.016,0
0.0717,-0.008,0
0.0718,0.024,0
0.0719,0.028,0
0.072,0.012,0
0.0721,0.016,0
0.0722,-0.004,0
0.0723,0,0
0.0724,0.008,0
0.0725,0,0
0.0726,-0.032,0
0.0727,-0.004,0
0.0728,0.004,0
0.0729,0,0
0.073,0.012,0
0.0731,-0.016,0
0.0732,0.008,0
0.0733,-0.016,0
0.0734,0.012,0
0.0735,0.016,0
0.0736,0.024,0.2
0.0737,0.012,0.2
0.0738,-0.008,0
0.0739,0.02,0
0.074,0.012,0.2
0.0741,-0.02,0
0.0742,0.008,0
0.0743,-0.004,0
0.0744,0,0
0.0745,-0.008,0
0.0746,0.016,0
0.0747,0.012,0
0.0748,-0.004,0
0.0749,0.012,0
0.075,0,0
0.0751,0.004,0
0.0752,0,0
0.0753,0,0
0.0754,0,0
0.0755,-0.016,0
0.0756,0.012,0
0.0757,0.008,0
0.0758,0.012,0
0.0759,0.008,0
0.076,-0.004,0
0.0761,-0.012,0
0.0762,0.02,0
0.0763,0.004,0
0.0764,0.008,0
0.0765,0,0
0.0766,0,0.2
0.0767,-0.004,0
0.0768,-0.016,0
0.0769,-0.008,0
0.077,0,0
0.0771,0.008,0
0.0772,0.012,0
0.0773,-0.004,0
0.0774,-0.004,0
0.0775,0.012,0
0.0776,0.02,0
0.0777,0.012,0
0.0778,0.012,0
0.0779,0.004,0
0.078,0,0
0.0781,0.012,0
0.0782,0.004,0
0.0783,-0.004,0
0.0784,0.004,0
0.0785,-0.004,0
0.0786,0.012,0
0.0787,0.016,0
0.0788,0.012,0
0.0789,0,0
0.079,0.012,0
0.0791,-0.024,0
0.0792,-0.004,0
0.0793,-0.012,0
0.0794,-0.004,0.2
0.0795,0.004,0
0.0796,-0.016,0
0.0797,-0.004,0
0.0798,-0.004,0
0.0799,-0.004,0
0.08,0.024,0
0.0801,0.028,0
0.0802,-0.004,0
0.0803,0.012,0
0.0804,0.004,0
0.0805,-0.028,0
0.0806,-0.008,0
0.0807,0.012,0
0.0808,0.012,0
0.0809,-0.032,0
0.081,-0.028,0
0.0811,0.008,0
0.0812,0.016,0.2
0.0813,0,0
0.0814,-0.004,0
0.0815,-0.008,0.2
0.0816,0,0
0.0817,-0.004,0
0.0818,-0.004,0
0.0819,-0.032,0
0.082,-0.028,0
0.0821,0,0
0.0822,0.016,0
0.0823,-0.02,0
0.0824,-0.008,0
0.0825,0.012,0
0.0826,0.012,0
0.0827,0.012,0
0.0828,0,0
0.0829,-0.012,0
0.083,0,0
0.0831,-0.008,0
0.0832,-0.016,0
0.0833,0.012,0
0.0834,-0.008,0.2
0.0835,0,0
0.0836,-0.004,0.2
0.0837,-0.016,0.2
0.0838,-0.004,-0.2
0.0839,-0.016,0
0.084,-0.004,0
0.0841,-0.008,0
0.0842,-0.012,0
0.0843,-0.012,0
0.0844,-0.008,0
0.0845,0,0
0.0846,0,0
0.0847,0.008,0
0.0848,0.004,0
0.0849,-0.012,0
0.085,0.02,-0.2
0.0851,0.012,0
0.0852,0.004,0
0.0853,0.012,0
0.0854,-0.008,0
0.0855,0.016,0
0.0856,-0.004,0
0.0857,0.012,0
0.0858,0.008,0
0.0859,-0.008,0
0.086,0,-0.2
0.0861,0.012,0
0.0862,-0.012,0
0.0863,-0.012,0
0.0864,-0.004,0
0.0865,-0.004,0
0.0866,-0.016,0
0.0867,0,0
0.0868,0.004,0
0.0869,0.008,0
0.087,0.008,0
0.0871,-0.004,0
0.0872,0.008,0
0.0873,0.02,0
0.0874,-0.004,0
0.0875,0,0
0.0876,0,0
0.0877,-0.004,0
0.0878,-0.008,0
0.0879,0,0
0.088,-0.016,0
0.0881,-0.016,0
0.0882,0,0
0.0883,-0.004,0
0.0884,-0.016,0
0.0885,-0.012,0.2
0.0886,-0.004,0
0.0887,-0.016,0.2
0.0888,0.012,0
0.0889,0.008,0
0.089,0.004,0
0.0891,0.012,0
0.0892,-0.012,0
0.0893,0.008,0.2
0.0894,0.008,0
0.0895,0.004,0
0.0896,0,0.2
0.0897,0.004,0
0.0898,0,0
0.0899,0.012,0
0.09,-0.024,0
0.0901,0,0
0.0902,-0.016,0.2
0.0903,-0.008,0
0.0904,0.02,0.2
0.0905,0.008,0
0.0906,0.012,0
0.0907,-0.012,0
0.0908,0.004,0
0.0909,-0.016,0
0.091,0.024,0
0.0911,0.028,-0.2
0.0912,0.012,0
0.0913,-0.004,0
0.0914,0.012,0
0.0915,0.012,0
0.0916,0,0
0.0917,-0.004,0.2
0.0918,-0.032,0
0.0919,-0.016,0
0.092,0,0
0.0921,0,0
0.0922,-0.016,0
0.0923,-0.036,0
0.0924,0.02,0
0.0925,0.012,0
0.0926,0.024,0
0.0927,0.032,0
0.0928,-0.004,0
0.0929,-0.004,0
0.093,-0.004,0
0.0931,-0.012,0
0.0932,-0.004,0
0.0933,-0.008,0
0.0934,-0.008,0
0.0935,0.012,0
0.0936,-0.008,0
0.0937,-0.012,0
0.0938,0,0
0.0939,0.004,0
0.094,-0.004,0
0.0941,-0.012,-0.2
0.0942,-0.004,0
0.0943,-0.004,0
0.0944,0.012,0
0.0945,0,0
0.0946,0.024,0.2
0.0947,-0.008,0.2
0.0948,0.008,0
0.0949,0.012,0
0.095,0,0
0.0951,0.016,0.2
0.0952,-0.004,0
0.0953,0.012,0.2
0.0954,0.004,0
0.0955,0.004,0
0.0956,0,0
0.0957,0.004,0
0.0958,-0.004,0
0.0959,0.004,0
0.096,-0.016,0
0.0961,-0.012,0
0.0962,-0.012,0
0.0963,-0.008,0
0.0964,0.008,0
0.0965,-0.012,0
0.0966,0.012,0
0.0967,-0.016,0
0.0968,0,0
0.0969,0.024,0
0.097,-0.004,0
0.0971,0.012,0
0.0972,-0.004,0
0.0973,0.008,0
0.0974,-0.008,0
0.0975,0.016,0
0.0976,0.008,0
0.0977,0,0
0.0978,-0.004,0
0.0979,0.004,0
0.098,0.012,0
0.0981,0.024,0
0.0982,-0.024,0
0.0983,0.008,0
0.0984,-0.02,0
0.0985,0.012,0
0.0986,0.024,0
0.0987,0.016,0
0.0988,-0.008,0
0.0989,0.012,0
0.099,0.012,0
0.0991,-0.016,0
0.0992,-0.008,0
0.0993,0.016,0
0.0994,-0.004,0
0.0995,0.008,0
0.0996,0,0
0.0997,0,0
0.0998,-0.004,0
0.0999,-0.004,0
0.1,0.02,0
0.1001,0.008,0
0.1002,-0.004,0
0.1003,-0.036,0
0.1004,-0.02,0
0.1005,-0.016,0
0.1006,0,0
0.1007,0.008,0
0.1008,0.024,0
0.1009,0.008,0
0.101,-0.024,0
0.1011,0,0
0.1012,-0.02,0
0.1013,0.012,0
0.1014,-0.02,0
0.1015,-0.004,0
0.1016,0,0
0.1017,-0.02,0
0.1018,-0.004,0.2
0.1019,-0.004,0.2
0.102,-0.02,0
0.1021,0.004,-0.2
0.1022,0.028,0
0.1023,0.012,0.2
0.1024,-0.004,0
0.1025,-0.004,0.2
0.1026,0.024,0
0.1027,0.012,0
0.1028,0.008,0
0.1029,-0.02,0
0.103,0,0
0.1031,0.004,0
0.1032,0.008,0
0.1033,0,0
0.1034,0.012,0
0.1035,-0.016,0
0.1036,0.008,0
0.1037,0,0
0.1038,0.004,0
0.1039,-0.004,0
0.104,-0.02,0
0.1041,-0.004,0.2
0.1042,-0.024,0
0.1043,0.012,0
0.1044,-0.008,0
0.1045,0.012,0
0.1046,-0.008,0
0.1047,0,-0.2
0.1048,0.004,0
0.1049,-0.004,0
0.105,-0.004,0
0.1051,0.012,0
0.1052,0,0
0.1053,0.012,0
0.1054,0.02,0
0.1055,0.024,0
0.1056,-0.012,0
0.1057,-0.004,0
0.1058,-0.004,0
0.1059,0.004,0.2
0.106,-0.02,0
0.1061,0.004,0
0.1062,0.02,0
0.1063,-0.004,0
0.1064,-0.008,0
0.1065,-0.016,0
0.1066,0,0
0.1067,0.012,0
0.1068,0.016,0
0.1069,0.004,0
0.107,0.016,0
0.1071,0,0
0.1072,0.008,0
0.1073,0.024,0
0.1074,0.028,0
0.1075,-0.008,0
0.1076,0.008,0
0.1077,-0.012,0
0.1078,-0.012,0
0.1079,-0.012,0
0.108,-0.008,0
0.1081,-0.02,0
0.1082,-0.028,0
0.1083,0.004,0
0.1084,0,0
0.1085,-0.016,0
0.1086,0,0
0.1087,-0.008,0
0.1088,-0.012,0.2
0.1089,0.008,0
0.109,-0.008,0
0.1091,0.016,0
0.1092,0,0.2
0.1093,0.012,-0.2
0.1094,0.008,0
